Teams,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,2-Nov,3-Nov,4-Nov,6-Nov,7-Nov,8-Nov,11-08
Washington Wizards,,,-1,,-2,,2,,2,,,-2,,P,,,-3,-3
Atlanta Hawks,,-1,,p,,-2,-2,,-2,,P,,3,-3,2,,P,P
Indiana Pacers,,P,,-2,,-2,P,,2,,-2,,,2,P,,-3,-3
Boston Celtics,2,,1,,-1,,P,,-2,,1,P,,3,-2,,-2,-2
Charlotte Hornets,,2,,p,P,,,,P,,-1,P,,-2,-1,,3,3
Toronto Raptors,,-2,,2,1,,1,,P,,1,2,,1,-1,,,
Cleveland Cavaliers,,2,,p,2,,2,,2,,1,1,,-1,P,,2,2
Los Angeles Lakers,1,,,2,1,,P,,-2,,-1,,,-3,-3,,1,1
Philadelphia 76ers,,-2,,-2,,2,,,-2,,,-3,,1,-2,,-1,-1
Detroit Pistons,,P,,p,1,,P,,2,,-3,,3,3,,,P,P
Miami Heat,,-2,,,P,,P,,-1,,,2,,P,P,,-2,-2
New York Knicks,-2,,,2,,,-2,,1,,3,,,-2,-2,,2,2
Memphis Grizzlies,,p,,-2,2,,-2,,-2,2,,3,,-1,3,,3,3
Brooklyn Nets,,1,,-1,,2,,P,2,,1,,-3,1,,,2,2
Chicago Bulls,,-1,,2,-2,,2,,1,,-1,,,-3,-2,-1,,
Orlando Magic,,2,,1,-2,,P,,-1,,-1,,-3,-1,P,,3,3
Oklahoma City Thunder,,,2,,2,2,,,P,,2,1,,1,-2,,2,2
San Antonio Spurs,,,p,,1,,1,,P,2,,2,,-1,-3,2,,
Golden State Warriors,,2,,2,,-2,,2,2,,,2,,P,-2,,-2,-2
New Orleans Pelicans,,1,,-1,,-2,,-2,-2,,2,,-3,-3,P,,-3,-3
Los Angeles Clippers,,p,,,2,2,,,-2,P,,-1,,1,2,,3,3
Portland Trail Blazers,,-2,,1,,2,P,,2,,-2,1,,3,,-2,-2,-2
Minnesota Timberwolves,-1,,p,,-1,,,-2,,,P,-2,,2,,1,2,2
Milwaukee Bucks,,2,,-2,,-2,P,,,-2,,-1,,1,,2,-2,-2
Houston Rockets,,-2,,2,-1,,1,,,2,,-2,,2,3,,-2,-2
Utah Jazz,,p,,-2,,,1,-2,,-2,,-3,,3,,-2,,
Phoenix Suns,,p,,-2,2,,P,,,P,,-1,,-1,P,,1,1
Dallas Mavericks,,,p,,-2,,-1,2,,-2,,,3,-2,2,,-1,-1
Denver Nuggets,,,-2,,-2,,-1,P,,,P,3,,-1,2,,2,2
Sacramento Kings,,,p,,-1,,P,2,,,P,-2,,P,1,,-3,-3
